loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term,other_loans, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value,loan_status
64,3, Not Graduate, Yes,3300000,7500000,20,792000,586,1600000,5600000,10500000,2900000, Approved
65,4, Graduate, Yes,3900000,12300000,18,1560000,784,7600000,6900000,13100000,2800000, Approved
66,1, Graduate, No,4100000,10300000,12,1517000,364,9500000,6100000,14900000,2800000, Rejected
67,3, Not Graduate, No,8300000,29100000,10,2905000,715,6100000,11900000,24100000,11900000, Approved
68,0, Not Graduate, Yes,2700000,10100000,20,918000,693,200000,1700000,5900000,1400000, Rejected
69,4, Graduate, No,5600000,12400000,4,672000,777,5500000,3100000,11800000,5500000, Approved
70,0, Graduate, No,1900000,5000000,12,304000,312,4000000,2800000,4900000,2400000, Rejected
71,4, Not Graduate, Yes,500000,1500000,20,5000,340,100000,200000,1900000,600000, Rejected
72,5, Graduate, Yes,5300000,18600000,4,689000,386,2700000,9700000,11900000,4200000, Approved
73,5, Not Graduate, No,7000000,18300000,4,490000,418,18400000,11700000,21500000,7600000, Rejected
74,3, Not Graduate, Yes,5800000,16700000,16,1682000,735,3900000,9400000,12600000,5600000, Approved
75,2, Not Graduate, No,2600000,8400000,6,494000,494,6500000,3800000,5600000,2000000, Rejected
76,2, Not Graduate, No,1900000,6500000,18,703000,671,600000,2500000,4800000,1100000, Approved
77,4, Graduate, No,5700000,14800000,16,855000,697,14300000,7800000,12900000,6300000, Approved
78,0, Graduate, No,9000000,33500000,8,270000,801,11600000,8900000,35400000,11100000, Approved
79,2, Not Graduate, No,8500000,29400000,12,1360000,576,17600000,5600000,25200000,9000000, Approved
80,0, Not Graduate, No,700000,1400000,14,189000,639,1900000,700000,2400000,900000, Approved
81,4, Graduate, No,3500000,8900000,4,595000,470,1300000,2200000,12300000,2000000, Rejected
82,0, Not Graduate, No,8800000,31200000,4,2816000,826,2900000,500000,33300000,8600000, Approved
83,2, Not Graduate, Yes,9900000,21200000,16,693000,363,25500000,11400000,26600000,6800000, Rejected
84,3, Graduate, No,3600000,8600000,20,1008000,613,9400000,300000,10300000,3300000, Approved
85,3, Not Graduate, Yes,3000000,8200000,16,480000,713,5300000,5800000,11000000,3400000, Approved
86,2, Graduate, No,6800000,21200000,16,2380000,439,17100000,4700000,23300000,3600000, Rejected
87,5, Not Graduate, Yes,1100000,3800000,18,209000,387,1300000,1200000,3800000,1600000, Rejected
88,1, Not Graduate, Yes,8700000,28300000,8,2436000,402,20400000,13600000,27900000,10200000, Rejected
89,4, Graduate, Yes,2000000,8000000,6,260000,837,5100000,2600000,3900000,2900000, Approved
90,2, Not Graduate, No,9800000,37600000,10,196000,641,24100000,0,23400000,7600000, Approved
91,4, Graduate, No,5700000,21100000,18,342000,489,500000,4300000,12500000,6000000, Rejected
92,4, Graduate, No,8800000,20700000,18,1144000,540,19200000,3200000,22400000,12700000, Rejected
93,4, Graduate, No,3800000,8900000,4,266000,844,9100000,3500000,13100000,4700000, Approved
94,1, Graduate, No,1700000,6400000,10,153000,452,900000,1100000,5600000,2100000, Rejected
95,2, Graduate, No,1000000,2000000,10,330000,366,1200000,400000,3200000,1300000, Rejected
96,5, Graduate, No,300000,1100000,2,42000,300,100000,500000,700000,400000, Approved
97,2, Graduate, Yes,6600000,15000000,18,66000,470,1200000,4800000,18200000,7000000, Rejected
98,2, Not Graduate, No,8700000,25000000,20,1305000,861,14700000,8500000,23200000,7300000, Approved
99,4, Graduate, No,9400000,29400000,12,564000,562,25900000,15200000,36400000,7100000, Approved
100,0, Graduate, No,4400000,10800000,14,484000,463,2400000,4800000,13800000,4700000, Rejected
101,4, Not Graduate, No,400000,900000,12,12000,478,700000,100000,1200000,100000, Rejected
102,2, Not Graduate, Yes,300000,1100000,2,108000,702,300000,200000,500000,200000, Approved
103,2, Not Graduate, Yes,4300000,12900000,20,387000,618,11400000,3600000,11400000,2400000, Approved
104,4, Graduate, No,1600000,4500000,12,304000,633,700000,1700000,4100000,1900000, Approved
105,5, Not Graduate, Yes,6200000,23600000,10,2046000,331,18500000,10300000,23800000,8700000, Rejected
106,3, Not Graduate, Yes,4200000,9700000,16,924000,841,7800000,300000,16700000,5100000, Approved
107,4, Not Graduate, Yes,9000000,18100000,12,2340000,764,600000,16500000,20800000,11600000, Approved
108,0, Graduate, No,2700000,10600000,6,243000,591,1300000,2700000,9900000,1800000, Approved
109,1, Graduate, Yes,9700000,35900000,2,2716000,719,19600000,7600000,20400000,10900000, Approved
110,2, Graduate, No,3300000,6800000,14,924000,317,3400000,300000,11700000,3600000, Rejected
111,0, Not Graduate, No,300000,1100000,8,48000,778,800000,200000,900000,100000, Approved
112,3, Graduate, Yes,7400000,18200000,14,444000,302,5600000,3100000,17900000,5000000, Rejected
113,5, Not Graduate, No,7100000,19700000,8,2201000,502,7300000,5600000,25300000,9800000, Rejected
114,5, Not Graduate, Yes,7300000,22100000,18,2482000,879,19500000,10600000,19300000,9800000, Approved
115,1, Not Graduate, No,8400000,23400000,14,3276000,437,15400000,5800000,33400000,8100000, Rejected
116,0, Not Graduate, Yes,3300000,10800000,12,627000,797,600000,6000000,7700000,3300000, Approved
117,4, Not Graduate, Yes,5800000,23200000,18,1914000,456,16100000,4200000,22600000,7500000, Rejected
118,0, Not Graduate, No,600000,1600000,6,48000,647,1500000,600000,1500000,700000, Approved
119,0, Not Graduate, No,7200000,15800000,12,2880000,379,12700000,12200000,21500000,3600000, Rejected
120,1, Not Graduate, Yes,9100000,32900000,2,819000,717,2200000,2000000,23600000,5900000, Approved
121,5, Graduate, No,900000,2300000,16,81000,545,100000,200000,2700000,800000, Rejected
122,2, Graduate, No,800000,3200000,8,256000,317,300000,1000000,2000000,900000, Rejected
123,1, Not Graduate, No,8500000,32900000,10,1105000,570,5100000,6200000,20500000,5500000, Approved
124,0, Not Graduate, Yes,9000000,18700000,18,810000,865,26800000,0,20900000,11300000, Approved
125,3, Graduate, No,7000000,19500000,14,1190000,719,12200000,10300000,18200000,10200000, Approved
126,3, Graduate, No,200000,600000,16,78000,821,400000,100000,500000,100000, Approved
127,4, Not Graduate, Yes,400000,800000,10,84000,859,900000,500000,800000,200000, Approved
128,3, Not Graduate, No,5100000,18200000,10,816000,395,100000,8000000,15500000,6300000, Rejected
129,2, Not Graduate, Yes,700000,2600000,12,245000,429,1600000,1300000,2700000,800000, Rejected
130,3, Graduate, No,400000,1200000,12,88000,861,200000,600000,1100000,200000, Approved
131,0, Not Graduate, Yes,9500000,20800000,14,1995000,565,15100000,11900000,33900000,13400000, Approved
132,5, Graduate, No,8800000,22600000,10,0,357,7900000,8600000,18200000,4900000, Rejected
133,3, Not Graduate, Yes,1800000,3600000,18,180000,465,600000,500000,5400000,2600000, Rejected
134,4, Not Graduate, Yes,6800000,13900000,8,2652000,479,11700000,9100000,25700000,9600000, Rejected
135,3, Not Graduate, No,1500000,5500000,16,435000,717,2100000,800000,4400000,1300000, Approved
136,3, Graduate, No,1600000,5500000,12,400000,425,600000,800000,5400000,900000, Rejected
137,2, Not Graduate, No,4600000,16700000,2,644000,786,200000,5900000,13900000,6100000, Approved
138,5, Not Graduate, Yes,2200000,6700000,6,770000,382,4400000,1300000,8600000,1100000, Rejected
139,3, Not Graduate, Yes,2900000,8500000,12,986000,564,1000000,3100000,7500000,1800000, Approved
140,0, Graduate, No,200000,700000,8,16000,501,500000,200000,700000,100000, Rejected
141,2, Not Graduate, Yes,2500000,9400000,10,275000,727,6600000,4100000,9500000,3300000, Approved
142,4, Not Graduate, No,3600000,7500000,6,1152000,894,1100000,6500000,7400000,2800000, Approved
143,0, Graduate, Yes,5500000,16700000,18,2145000,829,5500000,1300000,12800000,5900000, Approved
144,4, Not Graduate, No,6600000,17400000,20,990000,506,2600000,10000000,25900000,7200000, Rejected
145,2, Graduate, Yes,8600000,32100000,6,2752000,802,9400000,16700000,24500000,9800000, Approved
146,5, Not Graduate, No,600000,1500000,14,72000,543,300000,900000,2100000,300000, Rejected
147,3, Graduate, Yes,1400000,3200000,20,322000,772,2400000,900000,5100000,1600000, Approved
148,3, Graduate, No,4000000,11100000,12,1200000,572,9700000,100000,12500000,2400000, Approved
149,0, Not Graduate, Yes,4900000,11900000,16,833000,709,14600000,900000,18500000,3800000, Approved
150,5, Graduate, No,2000000,6200000,18,780000,402,4000000,2100000,7200000,1100000, Rejected
151,1, Not Graduate, Yes,5200000,19300000,8,832000,481,14300000,9500000,18800000,4200000, Rejected
152,5, Graduate, Yes,8900000,28800000,6,3382000,772,13600000,5500000,20400000,8400000, Approved
153,1, Graduate, Yes,6500000,20600000,2,2470000,306,15900000,1900000,18100000,3200000, Approved
154,2, Not Graduate, No,1300000,4500000,6,520000,415,0,900000,2900000,1200000, Rejected
155,3, Not Graduate, No,9400000,35000000,16,658000,548,18200000,4400000,36100000,4800000, Rejected
156,5, Not Graduate, No,5000000,11200000,8,1300000,701,9100000,500000,14000000,4600000, Approved
157,2, Graduate, No,3000000,7700000,12,810000,890,4700000,4300000,8400000,2100000, Approved
158,5, Not Graduate, Yes,9900000,33300000,6,495000,364,5300000,18700000,27800000,8300000, Rejected
159,5, Graduate, Yes,700000,1300000,20,98000,704,1600000,0,2200000,600000, Approved
160,3, Graduate, Yes,4000000,10600000,10,1560000,318,1500000,5100000,8000000,4900000, Rejected
161,5, Not Graduate, No,3100000,9600000,2,589000,761,5800000,1800000,10400000,4200000, Approved
162,4, Not Graduate, No,4500000,15100000,6,315000,693,3700000,1500000,17800000,6000000, Approved
163,3, Not Graduate, No,9700000,20600000,16,970000,524,24200000,11100000,27400000,6100000, Rejected
164,2, Not Graduate, Yes,2000000,5300000,10,700000,681,4900000,1400000,4300000,2900000, Approved
165,2, Graduate, Yes,8100000,22300000,18,2835000,737,22300000,12600000,27000000,7300000, Approved
166,0, Not Graduate, No,5700000,15900000,16,570000,638,100000,9500000,16300000,4500000, Approved
167,4, Not Graduate, No,5800000,12800000,2,580000,656,500000,5000000,16000000,2800000, Approved
168,1, Graduate, No,1800000,6500000,6,108000,540,2500000,3200000,5000000,1100000, Rejected
169,4, Not Graduate, Yes,9100000,35200000,6,2548000,341,1000000,300000,23100000,8200000, Rejected
170,0, Not Graduate, Yes,4800000,17500000,2,1536000,371,11700000,6800000,18700000,3500000, Approved
171,3, Not Graduate, Yes,3800000,10500000,12,418000,886,4000000,500000,14900000,2300000, Approved
172,0, Not Graduate, No,1900000,4100000,18,418000,801,400000,800000,4800000,1200000, Approved
173,3, Not Graduate, Yes,3600000,9500000,16,756000,748,7700000,2400000,9700000,2600000, Approved
174,2, Not Graduate, Yes,7400000,28200000,8,1998000,376,21900000,5000000,17400000,5200000, Rejected
175,4, Not Graduate, Yes,6600000,14300000,8,2508000,371,10800000,9500000,18500000,7400000, Rejected
176,2, Graduate, No,1800000,5300000,6,720000,826,4500000,700000,6500000,1300000, Approved
177,4, Not Graduate, No,9200000,27200000,12,3680000,873,4500000,1800000,33800000,11400000, Approved
178,5, Not Graduate, Yes,2400000,8600000,8,480000,309,500000,600000,5700000,2800000, Rejected
179,4, Not Graduate, No,5600000,13300000,20,1624000,869,3300000,7500000,20000000,6500000, Approved
180,5, Graduate, No,3800000,13900000,12,1140000,534,4700000,2900000,8200000,2800000, Rejected
181,3, Not Graduate, Yes,4500000,17900000,6,1305000,787,9800000,3600000,14300000,4200000, Approved
182,0, Graduate, Yes,900000,2200000,16,171000,566,100000,700000,2000000,600000, Approved
183,0, Not Graduate, No,2800000,9900000,8,644000,742,4900000,1300000,6700000,1700000, Approved
184,2, Not Graduate, No,7500000,23100000,4,2250000,824,12100000,10900000,26300000,9500000, Approved
185,4, Graduate, No,1400000,3100000,14,462000,575,3000000,2100000,4900000,1400000, Approved
186,2, Graduate, Yes,3800000,10900000,10,722000,766,1900000,3900000,8600000,3000000, Approved
187,1, Not Graduate, Yes,1700000,5000000,10,408000,888,2900000,900000,4100000,2200000, Approved
188,3, Graduate, Yes,9000000,30400000,6,720000,638,16800000,11000000,26900000,9200000, Approved
189,5, Not Graduate, Yes,7300000,23300000,6,2409000,622,7100000,11600000,26400000,10500000, Approved
190,1, Not Graduate, No,7400000,19800000,18,2516000,458,12600000,6200000,27700000,4000000, Rejected
191,1, Not Graduate, No,9000000,28200000,16,1800000,327,1700000,2300000,24000000,11200000, Rejected
192,0, Not Graduate, No,3000000,6500000,2,0,612,8800000,3400000,6700000,1700000, Approved
193,1, Graduate, No,800000,2900000,8,192000,682,2200000,1100000,2900000,700000, Approved
194,2, Graduate, No,4800000,13200000,2,864000,583,13700000,5800000,9500000,5200000, Approved
195,5, Not Graduate, No,6400000,18300000,8,2240000,697,10000000,3600000,22500000,3600000, Approved
196,3, Graduate, No,9200000,27100000,12,2024000,306,5800000,11500000,28000000,9600000, Rejected
197,4, Not Graduate, Yes,400000,1500000,2,24000,669,-100000,600000,900000,500000, Approved
198,2, Not Graduate, No,2800000,6000000,18,868000,816,6300000,4200000,8000000,3400000, Approved
199,4, Not Graduate, Yes,8500000,28900000,20,2380000,455,15200000,5800000,22500000,9400000, Rejected
200,3, Graduate, Yes,4700000,16400000,10,376000,318,11400000,8100000,16200000,4300000, Rejected
201,4, Not Graduate, Yes,9800000,21200000,20,3136000,355,22000000,8900000,31800000,14400000, Rejected
202,2, Not Graduate, Yes,3800000,8900000,16,532000,389,200000,5600000,12200000,2200000, Rejected
203,2, Graduate, No,500000,1500000,2,175000,888,1500000,300000,1500000,600000, Approved
204,2, Graduate, Yes,6900000,15600000,6,2001000,352,13000000,5300000,22600000,10000000, Rejected
205,4, Not Graduate, Yes,9600000,30100000,12,3840000,870,300000,6700000,38200000,5600000, Approved
206,3, Not Graduate, No,2900000,6500000,18,899000,827,8300000,600000,10400000,3200000, Approved
207,2, Graduate, No,9800000,20900000,12,2744000,768,3400000,10200000,38600000,13400000, Approved
208,0, Graduate, No,7100000,15400000,18,1136000,707,10300000,10800000,19600000,5800000, Approved
209,1, Not Graduate, Yes,7700000,19100000,10,3080000,355,11300000,4900000,21900000,6600000, Rejected
210,3, Graduate, No,1400000,3300000,2,182000,652,100000,2100000,3500000,1900000, Approved
211,3, Graduate, No,7800000,15900000,2,1872000,665,14400000,900000,27200000,5400000, Approved
212,5, Not Graduate, Yes,1700000,6000000,18,391000,420,500000,1600000,3700000,2300000, Rejected
213,2, Not Graduate, No,8500000,32700000,18,2720000,471,12600000,9400000,33900000,12500000, Rejected
214,5, Not Graduate, No,1900000,7500000,20,304000,715,5100000,2800000,6500000,2800000, Approved
215,2, Not Graduate, Yes,6700000,15200000,10,0,689,0,8200000,15000000,6800000, Approved
216,3, Graduate, Yes,6900000,16400000,4,414000,787,11100000,6100000,26400000,3800000, Approved
217,2, Graduate, No,2600000,7800000,4,1014000,819,3100000,4300000,5700000,1500000, Approved
218,4, Graduate, Yes,9600000,21100000,6,1536000,809,16100000,9500000,34700000,8700000, Approved
219,1, Not Graduate, Yes,6800000,17000000,2,1836000,744,15500000,3900000,23700000,3500000, Approved
220,0, Not Graduate, No,3200000,11300000,6,320000,484,3500000,5500000,8500000,2100000, Rejected
221,4, Not Graduate, No,2900000,10400000,6,783000,673,5100000,1700000,10600000,1700000, Approved
222,3, Graduate, Yes,7900000,21200000,18,1817000,695,13800000,10600000,21800000,4900000, Approved
223,4, Not Graduate, Yes,3900000,12400000,12,1092000,473,6400000,4700000,13100000,3800000, Rejected
224,4, Graduate, Yes,4600000,11000000,2,1518000,491,9000000,4000000,16100000,3500000, Rejected
225,3, Not Graduate, Yes,700000,1700000,8,140000,733,1200000,800000,2400000,500000, Approved
226,0, Not Graduate, No,5200000,15600000,20,468000,434,14100000,5800000,18100000,5500000, Rejected
227,3, Not Graduate, Yes,5900000,20600000,10,708000,777,1900000,4600000,21200000,6400000, Approved
228,4, Graduate, No,7200000,19100000,4,2808000,774,9400000,7000000,17900000,3600000, Approved
229,1, Not Graduate, Yes,8700000,27000000,10,3219000,717,25500000,8600000,17500000,9100000, Approved
230,3, Not Graduate, Yes,1100000,3500000,12,66000,503,3000000,400000,2200000,1200000, Rejected
231,1, Graduate, Yes,4000000,10900000,14,1520000,598,3600000,6600000,13600000,4400000, Approved
232,2, Graduate, No,9800000,32400000,2,392000,543,24200000,17500000,25700000,7700000, Approved
233,0, Not Graduate, Yes,2700000,6800000,20,486000,796,700000,4200000,7000000,1900000, Approved
234,3, Not Graduate, Yes,8800000,34600000,8,88000,386,14800000,16500000,18400000,6000000, Rejected
235,5, Not Graduate, Yes,3300000,7800000,16,297000,632,8500000,500000,7100000,4900000, Approved
236,1, Graduate, Yes,6900000,23400000,4,138000,481,18700000,1100000,23400000,10200000, Approved
237,3, Graduate, Yes,900000,3500000,4,306000,770,700000,0,2000000,600000, Rejected
238,3, Graduate, Yes,4100000,15500000,6,1230000,667,2800000,1600000,14700000,4000000, Approved
239,3, Not Graduate, Yes,4700000,17500000,8,752000,585,1200000,3100000,9600000,4900000, Approved
240,5, Graduate, Yes,3400000,11600000,16,612000,479,9200000,5700000,11200000,2400000, Rejected
241,2, Graduate, No,9600000,22500000,18,192000,851,7400000,16200000,24300000,12700000, Approved
242,3, Not Graduate, Yes,7000000,16200000,6,280000,378,20000000,12600000,20300000,5500000, Rejected
243,5, Graduate, No,5700000,12900000,18,855000,807,4100000,900000,18600000,5500000, Approved
244,1, Not Graduate, Yes,8200000,32400000,18,1722000,831,22800000,12300000,17700000,7800000, Approved
245,2, Not Graduate, No,2100000,5100000,12,693000,674,2200000,3200000,6400000,2400000, Approved
246,1, Not Graduate, Yes,8000000,28100000,18,80000,725,1900000,12800000,23000000,7500000, Approved
247,2, Not Graduate, No,8000000,29300000,4,1600000,600,16500000,13200000,29400000,6500000, Approved
248,0, Not Graduate, Yes,9400000,27000000,10,1692000,536,4400000,1700000,33800000,4800000, Rejected
249,0, Graduate, No,8400000,20600000,10,1092000,477,1500000,1500000,25000000,11900000, Rejected
250,1, Not Graduate, Yes,1900000,5000000,6,665000,560,1000000,1900000,6300000,1400000, Approved
251,0, Not Graduate, Yes,4200000,16400000,20,126000,539,9500000,2100000,11400000,3100000, Rejected
252,5, Graduate, No,2600000,9100000,8,962000,852,3700000,700000,10300000,3300000, Approved
253,3, Not Graduate, No,3700000,8500000,20,1221000,853,8300000,5700000,7500000,4900000, Approved
254,0, Graduate, No,8800000,30900000,12,3168000,729,1700000,700000,25700000,11400000, Approved
255,2, Not Graduate, No,2100000,4700000,2,273000,546,6000000,3200000,5700000,1500000, Rejected
256,3, Graduate, Yes,900000,2400000,10,333000,489,800000,0,2800000,500000, Rejected
257,3, Graduate, Yes,9800000,35400000,6,2352000,869,14400000,16400000,22800000,10300000, Approved
258,2, Not Graduate, No,8000000,20000000,2,640000,502,4100000,2200000,31600000,9900000, Rejected
259,0, Graduate, No,9800000,38800000,8,2058000,652,23200000,19000000,29700000,5400000, Approved
260,0, Not Graduate, Yes,300000,1100000,8,75000,789,400000,100000,800000,400000, Approved
261,4, Not Graduate, No,2700000,8100000,4,621000,325,5000000,800000,9900000,3400000, Approved
262,3, Graduate, Yes,7400000,19600000,2,74000,716,4100000,8900000,29100000,4200000, Approved
263,3, Graduate, No,9200000,34300000,18,3496000,523,25600000,4000000,29100000,8800000, Rejected
264,5, Not Graduate, No,9500000,22200000,20,570000,352,24500000,0,30800000,7000000, Rejected
265,5, Graduate, Yes,3800000,14400000,2,874000,345,3300000,800000,13000000,4700000, Approved
266,0, Graduate, No,8300000,19400000,18,249000,649,2500000,16100000,24300000,11300000, Approved
267,2, Graduate, Yes,2800000,7400000,18,616000,666,100000,2300000,6300000,3400000, Approved
268,0, Graduate, No,8600000,20900000,10,172000,813,11300000,11900000,26000000,4800000, Approved
269,0, Not Graduate, No,5400000,16800000,10,324000,599,5300000,7400000,14500000,7600000, Approved
270,5, Graduate, Yes,4200000,9400000,6,1638000,678,4700000,5500000,9900000,5700000, Approved
271,5, Not Graduate, No,5200000,12200000,20,416000,513,13400000,2000000,16800000,5400000, Rejected
272,5, Graduate, No,9400000,27900000,4,0,870,1100000,200000,29500000,10400000, Approved
273,3, Graduate, No,8800000,20400000,8,88000,483,3200000,11400000,28200000,11800000, Rejected
274,1, Graduate, Yes,5900000,16700000,16,2360000,308,5800000,8800000,19100000,5300000, Rejected
275,3, Graduate, Yes,1700000,4900000,16,289000,591,4700000,1000000,4300000,1400000, Approved
276,1, Not Graduate, No,7000000,23000000,10,350000,886,14000000,3700000,26700000,3600000, Approved
277,4, Not Graduate, No,1700000,4000000,6,68000,829,0,1600000,5200000,1700000, Approved
278,0, Not Graduate, No,1500000,4900000,12,120000,651,1600000,2800000,4600000,800000, Approved
279,4, Not Graduate, No,2000000,4700000,18,460000,733,3700000,3700000,7000000,2800000, Approved
280,5, Graduate, Yes,3900000,15500000,12,546000,433,9500000,5400000,7900000,4600000, Rejected
281,1, Graduate, Yes,900000,3600000,14,243000,713,1300000,1000000,1800000,1200000, Approved
282,1, Graduate, No,6900000,22500000,18,1863000,403,800000,8400000,16900000,6300000, Rejected
283,0, Graduate, Yes,2800000,7800000,10,812000,405,7800000,2500000,7100000,3400000, Rejected
284,3, Graduate, Yes,6800000,19900000,10,1700000,516,16000000,6000000,26000000,8500000, Rejected
285,4, Not Graduate, Yes,600000,1800000,8,198000,417,1700000,700000,1800000,800000, Rejected
286,1, Not Graduate, No,4700000,14000000,6,423000,468,11300000,1800000,10600000,4600000, Rejected
287,5, Graduate, Yes,3000000,11800000,10,0,672,8700000,3600000,9800000,4100000, Approved
